"Time (s)","Peak-Frequency"
6.159304000E1,1.640625000E2
6.169291446E1,1.171875000E2
6.179294793E1,1.171875000E2
6.189299600E1,2.578125000E2
6.199294616E1,1.987500000E4
6.209298185E1,2.578125000E2
6.219294085E1,3.046875000E3
6.229304677E1,2.859375000E3
6.239693039E1,3.164062500E3
6.249283131E1,2.343750000E2
6.259281508E1,2.812500000E2
6.269283162E1,1.982812500E4
6.279195570E1,5.156250000E2
6.289190423E1,2.109375000E2
6.299196431E1,2.578125000E2
6.309194462E1,1.171875000E2
6.319200400E1,4.453125000E2
6.329292123E1,1.992187500E4
6.339297870E1,2.343750000E2
6.349180085E1,1.406250000E2
6.359292670E1,3.984375000E3
6.369288431E1,1.640625000E2
6.379696124E1,1.640625000E2
6.389277693E1,1.640625000E2
6.399287139E1,1.640625000E2
6.409296462E1,1.994531250E4
6.419287193E1,1.640625000E2
6.429287008E1,1.994531250E4
6.439280424E1,1.989843750E4
6.449347347E1,2.020312500E4
6.459293993E1,1.996875000E4
6.469289562E1,2.343750000E2
6.479288093E1,1.640625000E2
6.489365108E1,3.937500000E3
6.499647654E1,1.406250000E2
6.509430854E1,2.343750000E2
6.519537562E1,1.640625000E2
6.529641631E1,2.812500000E2
6.539661993E1,1.989843750E4
6.549869070E1,2.020312500E4
6.559690731E1,1.994531250E4
6.569440670E1,2.109375000E2
6.579603754E1,1.640625000E2
6.589841931E1,2.578125000E2
6.599354000E1,1.875000000E2
6.609616370E1,1.171875000E2
6.619634300E1,1.171875000E2
6.629631870E1,1.875000000E2
6.639654893E1,1.992187500E4
6.649670331E1,1.875000000E2
6.659628677E1,2.812500000E2
6.669683354E1,1.640625000E2
6.680027777E1,2.343750000E2
6.689633231E1,3.937500000E3
6.699799724E1,1.406250000E2
6.709608370E1,2.008593750E4
6.719641685E1,3.937500000E3
6.729592216E1,2.343750000E2
6.739698400E1,1.996875000E4
6.749772208E1,2.025000000E4
6.760200147E1,3.281250000E2
6.770850277E1,1.875000000E2
6.779639039E1,5.156250000E2
6.789677231E1,5.156250000E2
6.799924608E1,1.982812500E4
6.809600639E1,2.109375000E2
6.819637077E1,2.343750000E2
6.829611785E1,5.156250000E2
6.840324554E1,4.453125000E2
6.849760577E1,2.578125000E2
6.859593662E1,3.281250000E2
6.869748208E1,2.578125000E2
6.881028793E1,2.020312500E4
6.889606577E1,2.008593750E4
6.899618731E1,1.985156250E4
6.909619162E1,2.010937500E4
6.919809047E1,2.025000000E4
6.929621100E1,1.982812500E4
6.939623970E1,2.812500000E2
6.949610362E1,2.027343750E4
6.959761508E1,1.640625000E2
6.971482547E1,1.171875000E2
6.979614824E1,2.017968750E4
6.989610824E1,1.406250000E2
6.999753939E1,1.987500000E4
7.009582639E1,2.015625000E4
7.019619570E1,1.406250000E2
7.029679600E1,1.171875000E2
7.039631654E1,2.020312500E4
7.049578831E1,1.171875000E2
7.059728024E1,1.171875000E2
7.069639100E1,1.640625000E2
7.079715993E1,2.022656250E4
7.089464670E1,1.640625000E2
7.099576893E1,1.989843750E4
7.109714516E1,2.578125000E2
7.119645477E1,2.020312500E4
7.129796885E1,1.982812500E4
7.139610800E1,2.008593750E4
7.149623785E1,2.022656250E4
7.159628770E1,2.578125000E2
7.169587724E1,2.343750000E2
7.179647285E1,2.578125000E2
7.189643408E1,1.989843750E4
7.200344300E1,1.989843750E4
7.209906300E1,2.015625000E4
7.219639900E1,2.017968750E4
7.229634493E1,1.985156250E4
7.239422677E1,2.013281250E4
7.249439193E1,2.025000000E4
7.259438154E1,1.640625000E2
7.269787047E1,2.343750000E2
7.279307416E1,2.029687500E4
7.289609077E1,1.875000000E2
7.299447477E1,1.406250000E2
7.309444247E1,2.017968750E4
7.320703170E1,2.003906250E4
7.329519070E1,1.985156250E4
7.339446331E1,2.109375000E2
7.349437016E1,2.029687500E4
7.359615108E1,1.982812500E4
7.369626370E1,1.640625000E2
7.379569285E1,2.029687500E4
7.389792216E1,2.578125000E2
7.399653724E1,2.578125000E2
7.409598862E1,2.020312500E4
7.419549624E1,1.640625000E2
7.429354647E1,1.989843750E4
7.439397377E1,2.017968750E4
7.449442985E1,3.937500000E3
7.459555539E1,1.640625000E2
7.469261562E1,2.008593750E4
7.479485385E1,3.937500000E3
7.489626893E1,1.640625000E2
7.499521070E1,1.406250000E2
7.509604854E1,2.025000000E4
7.519618054E1,2.578125000E2
7.529622216E1,5.156250000E2
7.539447193E1,3.515625000E2
7.549409500E1,2.578125000E2
7.559433593E1,2.343750000E2
7.569473939E1,5.390625000E2
7.579286893E1,3.937500000E3
7.589596239E1,1.982812500E4
7.599600185E1,2.343750000E2
7.609619016E1,1.218750000E3
7.619511562E1,1.171875000E2
7.629612154E1,1.989843750E4
7.639480616E1,2.022656250E4
7.649607600E1,2.578125000E2
7.659806585E1,1.171875000E2
7.669598277E1,1.406250000E2
7.679626770E1,3.937500000E3
7.689827447E1,5.390625000E2
7.699486024E1,2.109375000E2
7.710122093E1,9.375000000E1
7.719657039E1,2.343750000E2
7.729638616E1,1.171875000E2
7.739438154E1,2.017968750E4
7.749726054E1,1.875000000E2
7.759619662E1,1.987500000E4
7.769622085E1,2.343750000E2
7.780031477E1,3.937500000E3
7.789535777E1,5.625000000E2
7.799977508E1,2.008593750E4
7.809685531E1,3.937500000E3
7.819600147E1,6.328125000E2
7.829632677E1,1.994531250E4
7.839620762E1,2.022656250E4
7.849700031E1,1.989843750E4
7.860592370E1,2.343750000E2
7.869623477E1,2.343750000E2
7.879867224E1,1.640625000E2
7.890057439E1,1.171875000E2
7.899663970E1,3.281250000E2
7.909650831E1,3.937500000E3
7.919642493E1,1.406250000E2
7.929566862E1,4.218750000E2
7.940700647E1,4.453125000E2
7.949617962E1,1.148437500E3
7.959617162E1,4.921875000E2
7.969619600E1,2.020312500E4
7.979544954E1,2.013281250E4
7.989556770E1,3.984375000E2
7.999775285E1,4.453125000E2
8.009742985E1,1.968750000E3
8.019952893E1,1.982812500E4
8.029626208E1,2.015625000E4
8.039621047E1,2.022656250E4
8.049599747E1,1.989843750E4
8.059509170E1,2.578125000E2
8.069819447E1,2.025000000E4
8.079672862E1,1.171875000E2
8.089586116E1,1.987500000E4
8.100258947E1,2.015625000E4
8.109607624E1,4.265625000E3
8.119730339E1,3.046875000E2
8.130558270E1,1.640625000E2
8.139642185E1,2.109375000E2
8.149445008E1,4.921875000E2
8.159667377E1,2.343750000E2
8.170504893E1,3.515625000E2
8.179583531E1,2.343750000E2
8.189609070E1,3.046875000E2
8.200034893E1,2.017968750E4
8.209404400E1,2.343750000E2
8.219635377E1,1.171875000E3
8.229456208E1,2.343750000E2
8.239881593E1,2.578125000E2
8.249273224E1,2.578125000E2
8.259418454E1,4.921875000E2
8.269651131E1,1.429687500E3
8.279383754E1,3.984375000E2
8.289244585E1,1.406250000E2
8.299471600E1,2.578125000E2
8.309633377E1,1.171875000E2
8.319736739E1,1.985156250E4
8.329651047E1,2.013281250E4
8.339754585E1,2.022656250E4
8.349464924E1,1.875000000E2
8.359499724E1,2.343750000E2
8.370931785E1,5.859375000E2
8.379393377E1,1.989843750E4
8.389419531E1,1.640625000E2
8.399623624E1,1.171875000E2
8.410310054E1,4.687500000E2
8.419590370E1,1.640625000E2
8.429539570E1,1.171875000E2
8.439621477E1,2.109375000E2
8.449659254E1,1.875000000E2
8.459635131E1,2.578125000E2
8.469632831E1,2.343750000E2
8.479485347E1,4.218750000E2
8.489699293E1,4.218750000E2
