"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.260937500E4,7.432742978E-3
1.263281250E4,3.278378139E-2
1.265625000E4,3.935721186E-2
1.267968750E4,2.647342433E-2
1.270312500E4,1.422554615E-2
1.272656250E4,3.936652014E-3
1.275000000E4,3.608035504E-3
1.277343750E4,6.513408556E-3
1.279687500E4,7.691615087E-3
1.282031250E4,7.264000008E-3
1.284375000E4,5.571977444E-3
1.286718750E4,3.948378662E-3
1.289062500E4,9.630281408E-3
1.291406250E4,6.378454957E-3
1.293750000E4,1.000980963E-2
1.296093750E4,6.740130211E-3
1.298437500E4,5.582961157E-3
1.300781250E4,1.328359664E-2
1.303125000E4,2.507917031E-3
1.305468750E4,1.379569111E-2
1.307812500E4,1.350239346E-2
1.310156250E4,3.457309738E-2
1.312500000E4,6.311224637E-2
1.314843750E4,1.479913044E-1
1.317187500E4,5.880701344E-2
1.319531250E4,3.182950292E-2
1.321875000E4,1.435408896E-2
1.324218750E4,1.025844537E-2
1.326562500E4,3.601432977E-3
1.328906250E4,1.129732749E-2
1.331250000E4,1.092080526E-2
1.333593750E4,9.420994915E-3
1.335937500E4,1.542579591E-3
1.338281250E4,4.277633320E-3
1.340625000E4,2.041311763E-3
1.342968750E4,4.870487864E-3
1.345312500E4,6.560019934E-3
1.347656250E4,7.529588294E-3
1.350000000E4,8.145884367E-3
1.352343750E4,4.801527841E-3
1.354687500E4,8.911269743E-3
1.357031250E4,6.617695775E-3
1.359375000E4,3.611362450E-3
1.361718750E4,1.595184673E-2
1.364062500E4,1.777767177E-2
1.366406250E4,9.144511333E-3
1.368750000E4,7.481592749E-3
1.371093750E4,1.201950858E-2
1.373437500E4,1.030756068E-2
1.375781250E4,3.864492125E-3
1.378125000E4,9.231620510E-3
1.380468750E4,1.026994310E-2
1.382812500E4,7.397898474E-3
1.385156250E4,9.549691932E-3
1.387500000E4,7.117679457E-3
1.389843750E4,5.144809506E-3
1.392187500E4,1.186646415E-2
1.394531250E4,1.394767599E-2
1.396875000E4,8.994813918E-3
1.399218750E4,5.226351457E-3
1.401562500E4,1.090993000E-2
1.403906250E4,1.404720364E-2
1.406250000E4,1.778405505E-2
1.408593750E4,4.118418862E-2
1.410937500E4,5.454828649E-2
1.413281250E4,4.477642236E-2
1.415625000E4,2.585338258E-2
1.417968750E4,1.519600317E-2
1.420312500E4,2.102370963E-2
1.422656250E4,2.911051343E-3
1.425000000E4,1.517868213E-2
1.427343750E4,1.015830300E-2
1.429687500E4,8.515056976E-3
1.432031250E4,5.560778349E-3
1.434375000E4,5.510897650E-3
1.436718750E4,1.428835305E-2
1.439062500E4,1.124656651E-2
1.441406250E4,6.244227137E-3
1.443750000E4,3.112756697E-3
1.446093750E4,2.379682952E-3
1.448437500E4,1.070534421E-2
1.450781250E4,1.274862937E-2
1.453125000E4,1.193731012E-2
1.455468750E4,4.633485542E-3
1.457812500E4,5.405504587E-2
1.460156250E4,5.977963217E-2
1.462500000E4,4.733304204E-2
1.464843750E4,2.461591196E-2
1.467187500E4,3.452829657E-3
1.469531250E4,6.762577147E-3
1.471875000E4,6.132327147E-4
1.474218750E4,3.862820640E-3
1.476562500E4,6.661626661E-3
1.478906250E4,2.122185254E-3
1.481250000E4,2.641153076E-3
1.483593750E4,1.306332901E-2
1.485937500E4,1.980569446E-2
1.488281250E4,3.716972901E-3
1.490625000E4,9.333478698E-3
1.492968750E4,7.752608543E-3
1.495312500E4,2.191449591E-2
1.497656250E4,2.244269423E-2
1.500000000E4,2.706922441E-2
1.502343750E4,7.809287436E-3
1.504687500E4,3.998380797E-3
1.507031250E4,1.257388398E-2
1.509375000E4,3.708959926E-2
1.511718750E4,1.362251773E-2
1.514062500E4,8.174140705E-3
1.516406250E4,2.089333341E-2
1.518750000E4,8.017392275E-3
1.521093750E4,1.170057215E-2
1.523437500E4,1.260289276E-2
1.525781250E4,4.461795851E-3
1.528125000E4,6.323277742E-3
1.530468750E4,2.659254082E-2
1.532812500E4,1.406182067E-2
1.535156250E4,1.707582403E-2
1.537500000E4,2.243462865E-2
1.539843750E4,2.298101701E-2
1.542187500E4,1.030890200E-2
1.544531250E4,1.483924797E-2
1.546875000E4,1.423904550E-2
1.549218750E4,9.796696589E-3
1.551562500E4,4.418053426E-3
1.553906250E4,2.162857438E-2
1.556250000E4,2.433305331E-2
1.558593750E4,3.491246035E-2
1.560937500E4,3.313301076E-2
1.563281250E4,1.587590797E-2
1.565625000E4,1.176135408E-2
1.567968750E4,1.550638096E-2
1.570312500E4,1.232983735E-2
1.572656250E4,1.786167947E-2
1.575000000E4,1.252479077E-2
1.577343750E4,1.420417281E-2
1.579687500E4,7.784795277E-3
1.582031250E4,1.777121610E-2
1.584375000E4,8.796555582E-3
1.586718750E4,2.582205288E-2
1.589062500E4,3.019565173E-2
1.591406250E4,1.632900140E-2
1.593750000E4,4.991376482E-3
1.596093750E4,1.176988407E-2
1.598437500E4,1.195314755E-2
1.600781250E4,1.588352632E-2
1.603125000E4,7.907020722E-3
1.605468750E4,9.226625508E-3
1.607812500E4,4.211903224E-2
1.610156250E4,2.265967205E-2
1.612500000E4,1.667577280E-2
1.614843750E4,3.241467723E-2
1.617187500E4,3.451519201E-2
1.619531250E4,4.046199514E-2
1.621875000E4,6.492818968E-3
1.624218750E4,2.158457391E-2
1.626562500E4,2.238117532E-2
1.628906250E4,3.149706249E-2
1.631250000E4,2.378734554E-2
1.633593750E4,2.736321717E-2
1.635937500E4,2.687762048E-2
1.638281250E4,1.631608077E-2
1.640625000E4,1.703013155E-2
1.642968750E4,3.964538729E-2
1.645312500E4,2.365267947E-2
1.647656250E4,1.746054509E-2
1.650000000E4,3.692670876E-2
1.652343750E4,1.892952340E-2
1.654687500E4,5.234516849E-2
1.657031250E4,5.437883723E-2
1.659375000E4,1.955595341E-2
1.661718750E4,4.111000204E-2
1.664062500E4,1.363901700E-2
1.666406250E4,4.221891234E-2
1.668750000E4,4.739619731E-2
1.671093750E4,1.748508984E-2
1.673437500E4,6.325937923E-2
1.675781250E4,1.749501782E-2
1.678125000E4,3.607284537E-2
1.680468750E4,1.636495648E-2
1.682812500E4,2.456134372E-2
1.685156250E4,1.637181931E-2
1.687500000E4,1.395718202E-2
1.689843750E4,1.793429370E-2
1.692187500E4,4.004346109E-2
1.694531250E4,5.393358526E-2
1.696875000E4,1.392349796E-2
1.699218750E4,4.214877284E-2
1.701562500E4,4.902505016E-2
1.703906250E4,1.663231028E-2
1.706250000E4,1.851791723E-2
1.708593750E4,1.153184932E-2
1.710937500E4,5.050083670E-2
1.713281250E4,2.672619198E-2
1.715625000E4,1.483907684E-3
1.717968750E4,1.104828237E-2
1.720312500E4,5.041455101E-2
1.722656250E4,2.416310052E-2
1.725000000E4,3.869411840E-2
1.727343750E4,3.697817680E-2
1.729687500E4,3.243403814E-2
1.732031250E4,3.474811315E-2
1.734375000E4,4.134036012E-2
