"Time (s)","Recording (a.u.)"
1.445833333E-2,6.775109104E-3
1.447916667E-2,1.068147832E-3
1.450000000E-2,-4.242072817E-3
1.452083333E-2,-7.263405255E-3
1.454166667E-2,-1.049836726E-2
1.456250000E-2,-1.077303385E-2
1.458333333E-2,-5.981627857E-3
1.460416667E-2,-3.051850948E-3
1.462500000E-2,3.204443495E-3
1.464583333E-2,4.242072817E-3
1.466666667E-2,5.981627857E-3
1.468750000E-2,4.699850459E-3
1.470833333E-2,1.129184851E-3
1.472916667E-2,-3.051850948E-5
1.475000000E-2,-5.096591082E-3
1.477083333E-2,-1.647999512E-3
1.479166667E-2,-7.141331217E-3
1.481250000E-2,-8.545182653E-4
1.483333333E-2,-6.714072085E-4
1.485416667E-2,3.234962004E-3
1.487500000E-2,7.873775445E-3
1.489583333E-2,7.354960784E-3
1.491666667E-2,9.399700919E-3
1.493750000E-2,2.197332682E-3
1.495833333E-2,1.953184606E-3
1.497916667E-2,-4.150517289E-3
1.500000000E-2,1.525925474E-4
1.502083333E-2,2.746665853E-4
1.504166667E-2,1.678518021E-3
1.506250000E-2,2.075258644E-3
1.508333333E-2,-8.850367748E-4
1.510416667E-2,1.525925474E-4
1.512500000E-2,2.929776910E-3
1.514583333E-2,2.777184362E-3
1.516666667E-2,1.678518021E-3
1.518750000E-2,-2.807702872E-3
1.520833333E-2,-8.545182653E-3
1.522916667E-2,-9.002960295E-3
1.525000000E-2,-8.362071596E-3
1.527083333E-2,-3.967406232E-4
1.529166667E-2,2.990813929E-3
1.531250000E-2,1.010162664E-2
1.533333333E-2,6.439405499E-3
1.535416667E-2,6.927701651E-3
1.537500000E-2,6.714072085E-3
1.539583333E-2,3.540147099E-3
1.541666667E-2,4.577776421E-3
1.543750000E-2,-2.441480758E-4
1.545833333E-2,-3.051850948E-4
1.547916667E-2,-3.112887967E-3
1.550000000E-2,5.798516800E-4
1.552083333E-2,2.441480758E-4
1.554166667E-2,3.845332194E-3
1.556250000E-2,4.211554308E-3
1.558333333E-2,3.784295175E-3
1.560416667E-2,3.051850948E-3
